
****
h=     0.100000
            x	            y	           yc	            e
 0.9000000000	 2.0265591066	 2.0266494226	 9.03160e-005
 0.9125000000	 2.0599910706	 2.0600840365	 9.29659e-005
 0.9250000000	 2.0941340278	 2.0942296998	 9.56720e-005
 0.9375000000	 2.1289982076	 2.1290966430	 9.84354e-005
 0.9500000000	 2.1645940136	 2.1646952706	 1.01257e-004
 0.9625000000	 2.2009320259	 2.2010361639	 1.04138e-004
 0.9750000000	 2.2380230039	 2.2381300833	 1.07079e-004
 0.9875000000	 2.2758778884	 2.2759879707	 1.10082e-004
 1.0000000000	 2.3145078045	 2.3146209522	 1.13148e-004


h	E	n
0.1	0.00220611	10
0.05	0.000556811	20
0.025	0.00013971	40
0.0125	3.49805e-005	80
h=0.1	h=0.05	h=0.025	h=0.0125
x	y	x	y	x	y	x	y
0.0125	1.000156578578	0.0125	1.00015625	0.025	1.000625	0.05	1.0025	0.1	1.01	
0.025	1.000627653159	0.025	1.00062697759	0.05	1.002516017263	0.1	1.010131302741	0.2	1.041101709181	
0.0375	1.001415287506	0.0375	1.001414246348	0.075	1.005690453626	0.15	1.023047652017	0.3	1.094775583762	
0.05	1.002521619879	0.05	1.002520194342	0.1	1.010166923552	0.2	1.041422900869	0.4	1.172839239645	
0.0625	1.003948863681	0.0625	1.003947034775	0.125	1.015965276155	0.25	1.065451799992	0.5	1.277488419041	
0.075	1.005699308126	0.075	1.005697056657	0.15	1.023106618262	0.3	1.095350856491	0.6	1.411333078736	
0.0875	1.007775318918	0.0875	1.007772625477	0.175	1.031613338533	0.35	1.131359266092	0.7	1.57743910198	
0.1	1.01017933895	0.1	1.010176183907	0.2	1.041509132653	0.4	1.173739922089	0.8	1.779376207021	
0.1125	1.012913889011	0.1125	1.012910252509	0.225	1.052819029629	0.45	1.222780504594	0.9	2.021272703623	
0.125	1.015981568522	0.125	1.015977430467	0.25	1.065569419209	0.5	1.27879465388	1	2.307877835444	
0.1375	1.019385056276	0.1375	1.019380396332	0.275	1.079788080449	0.55	1.342123231895	
0.15	1.023127111205	0.15	1.023121908783	0.3	1.095504211459	0.6	1.41313567629	
0.1625	1.027210573155	0.1625	1.027204807408	0.325	1.11274846034	0.65	1.492231451602	
0.175	1.031638363684	0.175	1.031632013498	0.35	1.131552957358	0.7	1.57984160253	
0.1875	1.036413486874	0.1875	1.036406530861	0.375	1.151951348365	0.75	1.676430414589	
0.2	1.041539030165	0.2	1.041531446654	0.4	1.173978829516	0.8	1.782497187735	
0.2125	1.047018165199	0.2125	1.047009932228	0.425	1.197672183287	0.85	1.898578128936	
0.225	1.052854148689	0.225	1.052845243997	0.45	1.223069815852	0.9	2.02524837003	
0.2375	1.059050323302	0.2375	1.059040724322	0.475	1.250211795834	0.95	2.163124117601	
0.25	1.065610118561	0.25	1.065599802408	0.5	1.279139894466	1	2.312864942033	
0.2625	1.072537051766	0.2625	1.072525995231	0.525	1.309897627202	
0.275	1.07983472893	0.275	1.079822908473	0.55	1.342530296812	
0.2875	1.087506845742	0.2875	1.08749423748	0.575	1.37708503799	
0.3	1.095557188542	0.3	1.095543768241	0.6	1.413610863526	
0.3125	1.103989635312	0.3125	1.10397537838	0.625	1.452158712074	
0.325	1.112808156699	0.325	1.112793038175	0.65	1.49278149755	
0.3375	1.122016817044	0.3375	1.12200081159	0.675	1.535534160223	
0.35	1.131619775441	0.35	1.131602857331	0.7	1.580473719512	
0.3625	1.141621286809	0.3625	1.141603429922	0.725	1.627659328563	
0.375	1.152025702989	0.375	1.152006880795	0.75	1.677152330633	
0.3875	1.162837473857	0.3875	1.162817659415	0.775	1.729016317335	
0.4	1.174061148465	0.4	1.174040314406	0.8	1.783317188792	
0.4125	1.185701376196	0.4125	1.185679494715	0.825	1.840123215752	
0.425	1.197762907942	0.425	1.197739950791	0.85	1.899505103709	
0.4375	1.210250597306	0.4375	1.21022653578	0.875	1.9615360591	
0.45	1.223169401824	0.45	1.223144206753	0.9	2.026291857606	
0.4625	1.236524384211	0.4625	1.236498025947	0.925	2.093850914646	
0.475	1.250320713623	0.475	1.250293162034	0.95	2.164294358095	
0.4875	1.264563666952	0.4875	1.264534891406	0.975	2.237706103302	
0.5	1.279258630135	0.5	1.279228599491	1	2.314172930462	
0.5125	1.294411099488	0.5125	1.294379782087	
0.525	1.310026683069	0.525	1.309994046721	
0.5375	1.326111102059	0.5375	1.326077114029	
0.55	1.342670192166	0.55	1.342634819168	
0.5625	1.359709905058	0.5625	1.35967311324	
0.575	1.377236309822	0.575	1.377198064753	
0.5875	1.395255594436	0.5875	1.395215861097	
0.6	1.413774067285	0.6	1.413732810054	
0.6125	1.432798158686	0.6125	1.432755341326	
0.625	1.452334422445	0.625	1.452290008094	
0.6375	1.472389537445	0.6375	1.472343488601	
0.65	1.492970309254	0.65	1.49292258776	
0.6625	1.51408367176	0.6625	1.514034238796	
0.675	1.535736688838	0.675	1.535685504904	
0.6875	1.557936556043	0.6875	1.557883580945	
0.7	1.580690602326	0.7	1.580635795165	
0.7125	1.604006291786	0.7125	1.603949610941	
0.725	1.627891225446	0.725	1.627832628562	
0.7375	1.652353143058	0.7375	1.652292587029	
0.75	1.677399924939	0.75	1.677337365898	
0.7625	1.703039593837	0.7625	1.702974987138	
0.775	1.729280316829	0.775	1.729213617029	
0.7875	1.75613040724	0.7875	1.756061568089	
0.8	1.783598326608	0.8	1.783527301032	
0.8125	1.811692686669	0.8125	1.811619426753	
0.825	1.840422251379	0.825	1.840346708351	
0.8375	1.869795938965	0.8375	1.869718063179	
0.85	1.899822824012	0.85	1.899742564934	
0.8625	1.93051213958	0.8625	1.930429445771	
0.875	1.961873279361	0.875	1.961788098456	
0.8875	1.993915799859	0.8875	1.993828078555	
0.9	2.026649422615	0.9	2.026559106649	
0.9125	2.060084036461	0.9125	2.059991070594	
0.925	2.094229699811	0.925	2.094134027811	
0.9375	2.12909664299	0.9375	2.128998207612	
0.95	2.164695270595	0.95	2.164594013561	
0.9625	2.201036163895	0.9625	2.200932025879	
0.975	2.238130083272	0.975	2.238023003877	
0.9875	2.275987970692	0.9875	2.275877888432	
1	2.314620952223	1	2.314507804501	

